id,titulo,genero,rating
1,Docks of New York,comedia,1.10
7,Who Is John Galt,comedia,1.60
9,The Man From The Alamo,comedia,1.20
11,Musketeer,comedia,1.10
12,Romantic Comedy,comedia,1.10
16,North Face,comedia,1.30
17,Satans Tango ,comedia,1.30
18,Chu Chin Chow,comedia,1.60
19,Cannibal Holocaust,comedia,1.30
23,American Winterr,comedia,1.60
33,The Snow White Murder Case,comedia,1.30
40,Saturday Night Fever,comedia,1.60
41,Brute The Bruto,comedia,1.70
43,At the Earths Core,comedia,1.20
45,Presidents Man,comedia,1.10
46,36 Quai des Orfevres,comedia,1.00
47,Raiders of the Lost Ark,comedia,1.50
49,Horrible Bosses 2,comedia,1.50
55,Divorcee,comedia,1.50
64,Ugly Truth,comedia,1.20
68,Mountaintop Motel Massacre,comedia,1.60
76,North to Alaska,comedia,1.60
81,Carbon Copy,comedia,1.50
83,Dodge City,comedia,1.40
92,Silent House,comedia,1.70
96,Way We Laughed,comedia,1.20
98,Best Defense,comedia,1.20
99,Jimmy Rosenberg,comedia,1.10
