id,titulo,genero,rating
2,Generals Daughter,terror,1.30
3,Angry Silence,terror,1.60
25,Kick Ass,terror,1.40
26,In the Cut,terror,1.60
27,Telefon,terror,1.50
29,Dirty Work,terror,1.60
37,Designing Woman,terror,1.30
38,Battlestar Galactica,terror,1.30
39,Bone Collector,terror,1.30
42,Experiment in Terror,terror,1.30
44,Summer in Berlin,terror,1.50
58,Error,terror,1.50
60,Flying Down to Rio,terror,1.20
62,Dawn Rider,terror,1.30
66,My Sassy Girl,terror,1.20
67,Mystery Science Theater 3000,terror,1.00
71,Dr. Jack,terror,1.60
78,Dark Horse,terror,1.50
84,Greatest Show on Earth,terror,1.20
89,Phantom,terror,1.30
90,Cheech and Chong,terror,1.40
94,Eerie Tales,terror,1.30
95,Cloverfield,terror,1.10
